No.,级别,类别,类别名称,细目,语法内容,例句
90,二级,词类,副词,语气副词,都2、就2、还是1,"都十二点了，快睡觉吧。
车站就在那个饭馆旁边。
就买这件白色的吧。
外边很冷，还是多穿一点儿吧。"
91,二级,词类,介词,引出时间、处所,从1,"我们从八点到十二点上课。
你从哪儿来？"
92,二级,词类,介词,引出方向、路径,往,"你从这儿往前走。
从这儿往下看，真漂亮啊！"
93,二级,词类,介词,引出方向、路径,从2,"这路公交车不从学校门口过。
前门没开，咱们从后门进去吧。"
94,二级,词类,介词,引出对象,给,"我经常给爸爸妈妈打电话。
我给老师买了一杯咖啡。"
95,二级,词类,介词,引出对象,比,"今天比昨天热。
我觉得红色的比黑色的好看。"
96,二级,词类,介词,引出对象,跟1,"跟我说说你的爱好吧。
我跟他见过一次。"
97,二级,词类,介词,引出原因,因为1,因为中国电影，我开始学习中文。
98,二级,词类,连词,连接词或短语,跟2,"爸爸跟妈妈都不在家。
我跟哥哥都在中国上学。"
99,二级,词类,连词,连接分句或者句子,但、但是、那、虽然、还是2、因为2、所以,"这家饭馆的菜很好吃，但/但是有点儿贵。
你不舒服，那就别去了。
手机虽然不大，但/但是能帮我们做很多事。
你想喝茶还是喝咖啡？
因为我最近每天看手机，所以眼睛有点儿不舒服。"
100,二级,词类,助词,结构助词,得、地,"他汉语说得很好。
大家正在高兴地唱歌。"
101,二级,词类,助词,动态助词,过,"你学过中文吗？
我没去过北京。"
102,二级,词类,助词,动态助词,着,"他穿着一条黑色的裤子。
教室的门开着。
他们唱着歌，跳着舞，非常高兴。"
103,二级,词类,助词,语气助词,呢4、吧2、的2、啊1,"她怎么不在家呢？
明天你想去哪儿呢？
这是你的手机吧？
这么晚了，超市已经关门了吧？
我是去年九月来中国的。
我们是在北京认识的。
他们是坐飞机去上海的。
今天的晚饭是我做的。
你汉语说得真好啊！"
104,二级,短语,结构类型,基本结构类型,动补短语1,听懂、回去、跑得很快、等一下
105,二级,短语,结构类型,其他结构类型,“的”字短语,老师的、白色的、便宜的、妈妈做的
106,二级,短语,结构类型,其他结构类型,连谓短语,来上课、去上海旅游、坐地铁去学校
107,二级,短语,结构类型,其他结构类型,兼语短语,请他来、叫朋友帮忙、让妈妈洗衣服
108,二级,短语,功能类型,名词性短语,,新电脑、老师的书、火车票、一个男孩、两条、这间
109,二级,短语,功能类型,动词性短语,,写汉字、听懂、回去、经常上网、可以进去
110,二级,短语,功能类型,形容词性短语,,很累、非常忙、慢一点儿
111,二级,短语,固定短语,其他,什么的,"他喜欢唱歌、跳舞什么的。
足球、篮球什么的，我都喜欢。"
112,二级,固定格式,,,还是……吧,"这些菜我都没吃过，还是你点吧。
你还是去医院看看吧。"
113,二级,固定格式,,,要/快要/就要……了,"电影要开始了。
我们快要开学了。
下星期就要考试了。"
114,二级,固定格式,,,都……了,"都这么晚了，你怎么还不睡觉？
都十一点了，别看电视了。"
115,二级,句子成分,主语,,受事主语,"水果都吃完了。                                               
那本书我看过了。"
116,二级,句子成分,谓语,,名词性短语作谓语,"她高个子、大眼睛，很漂亮。
王老师上海人，四十多岁。"
117,二级,句子成分,定语,,动词或动词性短语、主谓短语作定语,"那个唱歌的女孩儿是谁？
这就是儿子我学习汉语的学校。
我还不知道电影开始的时间。"
118,二级,句子成分,补语,结果补语1,动词+错/懂/好/会/完,"这个字你写错了。
老师的话你听懂了吗？
衣服已经洗好了。
我学会游泳了。
题太多了，我没做完。"
119,二级,句子成分,补语,趋向补语1,简单趋向补语的趋向意义用法：动词+来/去,"你上来吧，我在楼上等你。
太晚了，你快回去吧。"
120,二级,句子成分,补语,趋向补语1,简单趋向补语的趋向意义用法：动词+上/下/进/出/过/回,"飞机飞上天了。
弟弟跑下楼了。
老师走进办公室了。
他从包里拿出一本书。
我们一起走回学校吧。"
121,二级,句子成分,补语,趋向补语1,复合趋向补语的趋向意义用法：动词+出来/出去/过来/过去/回来/回去/进来/进去/起来/上来/上去/下来/下去,"车开过来了，大家快上车。
她在那边等着呢，咱们走过去吧。
他从书包里拿出来一本中文书。
妈妈从超市买回来一些水果。
王老师我走进教室来了。
咱们的车能开进学校去吗？
你可以站起来吗？
他们怎么还没有走上来？
你在楼上等我，我给你送上去。
他们从山上走下来了。
这些东西你帮我拿下去吧。"
122,二级,句子成分,补语,状态补语1,动词+得+形容词性短语,"大家玩儿得很高兴。
他篮球打得很好。"
123,二级,句子成分,补语,数量补语2,表示动作持续的时间,"我学了两年中文了。
我等了她一个多小时。
他们昨天看了一晚上的电视。"
124,二级,句子成分,补语,数量补语2,形容词+数量补语,"坐地铁比坐公交车快一些。
我哥哥比我大两岁。"
125,二级,句子的类型,句型,单句,主谓句4：主谓谓语句,"她个子很高。
这件事我知道。"
126,二级,句子的类型,句类,疑问句,用“还是”连接的选择问句,"是我自己去，还是你跟我一起去？
你喜欢打篮球，还是喜欢踢足球？"
127,二级,句子的类型,句类,祈使句,用“别”的祈使句,"下雨了，别出去了。
别忘了，明天有考试。"
128,二级,句子的类型,特殊句式,“是”字句2,表示说明或特征,"那件衣服是新的。
这个手机是坏的，不能用。"
129,二级,句子的类型,特殊句式,“有”字句2,表示达到,"王老师有三十岁吗？
这些水果有一百块钱吗？"
130,二级,句子的类型,特殊句式,存现句2,处所+动词+着(+数量短语)+名词,"门口站着一个人。
教室里坐着十几个学生。"
131,二级,句子的类型,特殊句式,比较句1,A比B+形容词,"姐姐比我高。
公交车比地铁便宜。"
132,二级,句子的类型,特殊句式,比较句1,A比B+形容词+数量补语/程度补语,"哥哥比我大两岁。
咖啡比奶茶贵一点儿。
今天比昨天冷多了。
姐姐的个子比妹妹高得多。"
133,二级,句子的类型,特殊句式,比较句1,A有/没有B（+这么/那么）+形容词,"你有他高吗？
今天没有昨天（那么）冷。
我的汉语没有你（这么）好。"
134,二级,句子的类型,特殊句式,比较句1,A比B+动词+得+形容词/A+动词+得+比+B+形容词,"她比我说得好。
我跑得比弟弟快。"
